Nid,Title,field_city,field_country,field_date_of_birth,field_email,field_verify_email,field_entry,field_gender,field_name,field_surname,Sid,field_rules,field_terms_of_use,field_privacy_policy,field_ideas,field_video_upload:thumb_fid,field_video_upload:video_title,created
9000,Joaquin Rodriguez video,Granollers,ES,877089180,jo@jo.com,jo@jo.com,"La propiedad intelectual tiene que ver con las creaciones de la mente: las invenciones, las obras literarias y artísticas, los símbolos, los nombres, las imágenes y los dibujos y modelos utilizados en el comercio.
Los derechos relacionados con el derecho de autor son los derechos de los artistas intérpretes y ejecutantes sobre sus interpretaciones y ejecuciones, los derechos de los productores de fonogramas sobre sus grabaciones y los derechos de los organismos de radiodifusión sobre sus programas de radio y de televisión.",oami_male,Joaquin,Roddriguez,1244,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Photography|Writing/Bloggin|Music|Film & TV,kQ6k81aEabs,Video Tv Film,1412251557
9001,Salvador Alsius Video,Granollers,ES,877089180,jo@jo.com,jo@jo.com,"La propiedad intelectual tiene que ver con las creaciones de la mente: las invenciones, las obras literarias y artísticas, los símbolos, los nombres, las imágenes y los dibujos y modelos utilizados en el comercio.",oami_male,Salvador,Alsius,1245,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Theatre|Business|Gaming|Brands,kQ6k81aEabs,Video Cositas ,1413893157
9002,Salvador Sostre Video,Madrid,ES,877089180,jo@jo.com,jo@jo.com,"Los derechos relacionados con el derecho de autor son los derechos de los artistas intérpretes y ejecutantes sobre sus interpretaciones y ejecuciones, los derechos de los productores de fonogramas sobre sus grabaciones y los derechos de los organismos de radiodifusión sobre sus programas de radio y de televisión.",oami_male,Salvador,Sostre,1246,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Fashion|Art|Computers & gadgets Design,kQ6k81aEabs,Bifurcación especial transitoria,1413893157
9003,Javier dupalero  Video,Lourdes,ES,877089180,jo@jo.com,jo@jo.com,"La propiedad intelectual tiene que ver con las creaciones de la mente: las invenciones, las obras literarias y artísticas, los símbolos, los nombres, las imágenes y los dibujos y modelos utilizados en el comercio.
Los derechos relacionados con el derecho de autor son los derechos de los artistas intérpretes y ejecutantes sobre sus interpretaciones y ejecuciones, los derechos de los productores de fonogramas sobre sus grabaciones y los derechos de los organismos de radiodifusión sobre sus programas de radio y de televisión.",oami_male,Javier,Drupalero,1247,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Sport|Science|Politics|Learning,kQ6k81aEabs,Bipolaridad extrema,1412510757
9004,Ivan  Video,San Diego,US,877089180,jo@jo.com,jo@jo.com,"La propiedad intelectual tiene que ver con las creaciones de la mente: las invenciones, las obras literarias y artísticas, los símbolos, los nombres, las imágenes y los dibujos y modelos utilizados en el comercio.
Los derechos relacionados con el derecho de autor son los derechos de los artistas intérpretes y ejecutantes sobre sus interpretaciones y ejecuciones, los derechos de los productores de fonogramas sobre sus grabaciones y los derechos de los organismos de radiodifusión sobre sus programas de radio y de televisión.",oami_male,Ivan,Aldavert,1248,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Innovation|Travel,kQ6k81aEabs,Tratamiento reumatoide,1410437157
9005,Ferran Video,Granollers,ES,877089180,jo@jo.com,jo@jo.com,"La propiedad intelectual tiene que ver con las creaciones de la mente: las invenciones, las obras literarias y artísticas, los símbolos, los nombres, las imágenes y los dibujos y modelos utilizados en el comercio.
Los derechos relacionados con el derecho de autor son los derechos de los artistas intérpretes y ejecutantes sobre sus interpretaciones y ejecuciones, los derechos de los productores de fonogramas sobre sus grabaciones y los derechos de los organismos de radiodifusión sobre sus programas de radio y de televisión.",oami_male,Ferran's,River,1249,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Food & Drink|Environment|Craft,kQ6k81aEabs,Carreras en el bosque,1409659557
9006,Marçal Video,Barcelona,ES,877089180,jo@jo.com,jo@jo.com,"La propiedad intelectual tiene que ver con las creaciones de la mente: las invenciones, las obras literarias y artísticas, los símbolos, los nombres, las imágenes y los dibujos y modelos utilizados en el comercio.
Los derechos relacionados con el derecho de autor son los derechos de los artistas intérpretes y ejecutantes sobre sus interpretaciones y ejecuciones, los derechos de los productores de fonogramas sobre sus grabaciones y los derechos de los organismos de radiodifusión sobre sus programas de radio y de televisión.",oami_male,Marçal,Whitefield,1250,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Photography|Writing/Bloggin|Music|Film & TV,kQ6k81aEabs,Más solitud,1410005157
9007,Chaos Merlin,Los Angeles,US,877089180,jo@jo.com,jo@jo.com,"La propiedad intelectual tiene que ver con las creaciones de la mente: las invenciones, las obras literarias y artísticas, los símbolos, los nombres, las imágenes y los dibujos y modelos utilizados en el comercio.
Los derechos relacionados con el derecho de autor son los derechos de los artistas intérpretes y ejecutantes sobre sus interpretaciones y ejecuciones, los derechos de los productores de fonogramas sobre sus grabaciones y los derechos de los organismos de radiodifusión sobre sus programas de radio y de televisión.",oami_male,Chaos,Merlin,1251,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Photography|Writing/Bloggin|Music|Film & TV,kQ6k81aEabs,Transistores de confianza,1411733157
9008,Anna Video,Barcelona,ES,877089180,jo@jo.com,jo@jo.com,"La propiedad intelectual tiene que ver con las creaciones de la mente: las invenciones, las obras literarias y artísticas, los símbolos, los nombres, las imágenes y los dibujos y modelos utilizados en el comercio.
Los derechos relacionados con el derecho de autor son los derechos de los artistas intérpretes y ejecutantes sobre sus interpretaciones y ejecuciones, los derechos de los productores de fonogramas sobre sus grabaciones y los derechos de los organismos de radiodifusión sobre sus programas de radio y de televisión.",oami_male,Anna,Tejas,1252,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Theatre|Business|Gaming|Brands,kQ6k81aEabs,Muros indiferencia,1409659557
9009,Ivana,Cornella,ES,877089180,jo@jo.com,jo@jo.com,"La propiedad intelectual tiene que ver con las creaciones de la mente: las invenciones, las obras literarias y artísticas, los símbolos, los nombres, las imágenes y los dibujos y modelos utilizados en el comercio.
Los derechos relacionados con el derecho de autor son los derechos de los artistas intérpretes y ejecutantes sobre sus interpretaciones y ejecuciones, los derechos de los productores de fonogramas sobre sus grabaciones y los derechos de los organismos de radiodifusión sobre sus programas de radio y de televisión.",oami_male,Ivana,Svenka,1253,oami_accept_rules,oami_accept_terms ,oami_accept_privacy ,Photography|Writing/Bloggin|Music|Film & TV,kQ6k81aEabs,¿Qué tal? Propiedad intelectual,1411733157
